"id","name","description","hours_estimate","notes","helpers_needed","liveaboard_priority","daysail_priority","unused","cruising_priority","completed","obsolete"
"31","Boom Vang","Contact manufacturer to get different mast end, then install it","5.00","Depends on Reverse Hatch","0","8","4","3","3","0","1"
"32","Bilge Topside Drainage","Route auto bilge pump output into output side of manual pump so it goes overboard","3.00",,"0","3","5","3","3","0","0"
"33","Head sink drainage","Remove head sink (so it stops filling with water) and cover the hole left with plywood.","4.00",,"0","2","2","2","2","0","0"
"35","Bilge Hatch","Create and install new bilge hatch, perhaps matching with even floor nearby","12.00",,"0","4","8","6","4","0","0"
"36","Stern Chainlocker","Build and install a chainlocker aft of the tiller for the stern anchor","8.00",,"0","6","3","3","3","0","0"
"37","Bow Chainlocker","Install plywood and/or heavy webbing so that chain in the bow locker doesn't trash the hull","12.00","Alternatively, in the longer term, install two chainlockers toward the sides of the hull just in front of thethe door to the v-berth.","0","8","4","3","3","0","0"
"38","Gas Tank","Buy and install a new 12-gallon gas tank with fittings","8.00",,"0","9","7","5","2","0","1"
"39","Inspect Old Gas Tank","Pull out, empty and inspect existing gas tank to determine if it's fit for continued service","5.00",,"0","9","8","4","3","0","1"
"40","Port Deck","Remove port headliner under deck, pull up all port deck fittings, drill holes to check for core rot, dry any wet core, tape up holes, fill with expoxy, reattach deck hardware","48.00",,"1","5","5","3","2","0","0"
"41","Jacklines","Install jacklines on both sides of the cabin, from bow to stern","12.00",,"0","8","3","2","1","0","0"
"42","Salon Lighting","Install LED lighting above salon table","2.00",,"0","2","8","6","3","0","0"
"43","Stern Cleats","Install the stern cleats that came with the boat on the stern","5.00",,"1","5","5","5","5","0","0"
"45","Oil Pressure Ignition Cutoff","Install a relay attached to the oil presure cuttof switch that will cut off ignition power in addition to fuel pump power if oil pressure cuts out. Must have timer for starting grace period. ","5.00",,"0","8","4","4","4","0","1"
"46","Mirror in Head","Install a stainless steel mirror in the head","1.00",,"0","4","9","9","5","0","0"
"47","Curtains","Get snaps and install curtains","5.00",,"0","3","9","9","5","0","0"
"48","Knotmeter Impeller","Buy and install impeller for knotmeter","1.00",,"0","8","5","3","1","0","0"
"49","Dive Setup","Get oxygen tank recertified and buy mask and regulator","4.00",,"0","4","4","4","4","0","0"
"50","LED Masthead Light","Buy and instal an LED bulb in the masthead light","1.00",,"1","8","6","3","1","0","0"
"51","Rain Catch System","Devise and set up a system for catching and potentially filtering rainwater","4.00",,"0","8","8","5","3","0","0"
"52","Freshwater Engine Cooling","Buy and install freshwater cooling kit for A4","8.00",,"0","8","8","5","4","0","1"
"53","Mast Collar","Get the correct bolts for the mast collar, so they don't spin loose or rust","1.00",,"0","8","5","4","3","0","1"
"54","Third Reef In Mainsail","Contact North Sails and have them install a third reef in the main","4.00",,"0","8","6","3","1","0","1"
"55","Gennaker","Buy a gennaker for light weather downwind sailing","2.00",,"0","9","6","3","3","0","1"
"57","Propane Stove System","Buy and install transom-mounted propane tanks, a regulator, solenoid, line, and stove.","24.00","Mostly just a theoretical cost calculation","0","9","9","9","9","0","1"
"58","Cruising Anchor Gear","Buy and install a windlass and 250' of chain.","32.00",,"0","9","9","8","3","0","0"
"59","Compasses","Buy and install compass domes, LED lights, and compass fluid.","3.00"," ","0","5","2","1","1","0","0"
"60","Window Trim","Once new windows are installed, salvage/buy new/used hardwood trim for interior and exterior","24.00","380"" total circumfrence for non-opening windows  * 2 ~= 64' of something like 3/4"" x 2"" (actual) lumber.","1","8","7","7","7","0","0"
"61","Engine Exhaust","Pull the exhaust manifold, clean it out, extract black iron pipe leading to standpipe. Clean up standpipe, evaluate need to disassemble and reassemble with new copper jacket. Rebuild hot section with new pipe and stainless flex hose, paint, and wrap.","16.00"," ","0","4","1","1","1","0","1"
"62","Install Fiddles and Tiedowns","Install fiddles and/or tiedowns for stuff inside the boat so it doesn't go flying at sea.","16.00"," ","0","4","1","1","1","0","0"
"63","Finished Yuloh","Finish the yuloh with the spinnaker pole as a loom.","8.00"," ","0","5","2","2","2","0","0"
"64","Solar Electric Setup","Solar panels, charger and battery banks","16.00"," Still need to calculate mounting options","0","3","6","1","1","0","0"
