"id","category","description","dimensions","material","units","inventory","price","minimum_purchase","package_count","shipping_price","location"
"73","Interior Light","Ceiling Lamp",,"LED","Each","0.00","26.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|739053|760445&id=747487"
"74","Window","Lexan Scraps","10 lb box",,"Each","0.00","16.00","1","1","0.00","http://freckleface.com/shopsite_sc/store/html/product545.html"
"77","Mirror","Fancy w/Teak Border","15"" x 11""",,"Each","0.00","49.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|302027|322430&id=101139"
"78","Knotmeter","Signet Sensor Paddle Wheel Kit",,,"Each","1.00","45.00","1","1","0.00","http://www.signetmarine.com/PRODUCTS/pricelist/comp_price3.html"
"79","Compass","Richie Navigator Old Style Replacement Dome",,,"Each","2.00","59.00","1","1","0.00","http://www.vikingcompass.com/ritoldnavpart.html"
"80","Compass","Richie Navigator Old Style LED Light Kit",,,"Each","0.00","24.00","1","1","0.00","http://www.vikingcompass.com/navoldlight.html"
"81","Container","Fancy Waterproof Laptop Case",,,"Each","0.00","190.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|344|760427&id=88038"
"82","Log Book","Maintenance",,,"Each","0.00","23.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|17|315035&id=339947"
"83","Log Book","Cruising",,,"Each","0.00","23.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|17|315035&id=83239"
"84","Log Book","Ship's Log",,,"Each","0.00","23.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|17|315035&id=83225"
"85","Bulb","Festoon",,"LED","Each","0.00","22.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|296901|1249269&id=1645280"
"86","Engine Part","Freshwater Engine Cooling Kit",,,"Each","0.00","715.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=CFWK&keywords=all&template=Templates/B000_storebuilder.html"
"87","Sail","Gennaker",,,"Each","0.00","2000.00","1","1","0.00","North Sails"
"88","Caulk","Sikaflex 291 Adhesive ","10.3 oz",,"Tube","0.00","13.00","1","1","0.00","http://www.jamestowndistributors.com/userportal/show_product.do?pid=3512&familyName=Sikaflex+291"
"89","Fastener","Snap Adhesive Base",,,"Each","0.00","2.03","25","1","0.00","http://www.sailrite.com/YKK-SNAD-White-25mm-Adhesive-Backed-Flexible-Base-Stud"
"90","Fastener","Snap Button",,,"Each","0.00","0.23","25","1","0.00","http://www.sailrite.com/Snap-Fastener-Button-White-3-16-Barrel-Nickel-Key-A"
"91","Fastener","Snap Socket",,,"Each","0.00","0.18","25","1","0.00","http://www.sailrite.com/Snap-Fastener-Normal-Action-Socket-Stainless-Steel-Key-SSB"
"92","Fastener","Snap Wood Screw Base",,,"Each","0.00","0.32","25","1","0.00","http://www.sailrite.com/Snap-Fastener-Screw-Stud-3-8-Stainless-Steel-Key-SSE"
"94","Bolt","Hex Cap Machine Screw","1/4"" x 3/4""","Stainless","Each","3.00","0.14","100","100","0.02","http://jamestowndistributors.com/userportal/show_product.do?pid=2223&familyName=1%2F4-20+S%2FS+Hex+Caps"
"95","Rope","Double Braid Samson XLS","7/16""","Polyester","Ft.","0.00","0.93","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|311417|314169|913347&id=36838"
"96","Rope","Double Braid Samson XLS","3/8""","Polyester","Ft.","0.00","0.76","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|311417|314169|913347&id=36459"
"97","Wire Rope",,"1/4"" 1x19","316 Stainless","Ft.","0.00","3.36","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|107602|297597&id=108067"
"99","Wire Fitting","Swageless Stud","1/4"" wire, 5/16"" thread","316 Stainless","Each","0.00","37.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|107602|297595|312099&id=136088"
"102","Wire Fitting","Turnbuckle, Jaw Only","1/2"" pin, 5/16"" thread","316 Stainless & Chromed Bronze","Each","0.00","74.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|107602|297402|823935&id=123904"
"103","Zinc","Prop Shaft Donut","7/8""","Zinc","Each","0.00","13.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|299255|319700&id=1119292"
"106","Bottom Paint","Hard Bottomkote Aqua",,,"Gallon","0.00","120.00","1","1","20.00","http://www.defender.com/product.jsp?path=-1|10918|296162|11000|311496|368288|1183523&id=1833976&cartId=3190162"
"107","Bottom Paint","Ablative ACT",,,"Gallon","0.00","113.00","1","1","20.00","http://www.defender.com/product.jsp?path=-1|10918|296162|11000|311496|368287&id=730074"
"108","Tool","Snap Fastener Anvil",,,"Each","0.00","30.00","1","1","0.00","http://www.sailrite.com/snap-fastener-deluxe-installation-tool"
"109","Tool","Fabric Hole Punch",,,"Each","0.00","15.00","1","1","0.00","http://www.amazon.com/SE-Professional-Leather-Punch-Plier/dp/B0007MX288/ref=sr_1_2?ie=UTF8&qid=1331349708&sr=8-2"
"110","Tool","Harness Rescue Combo",,,"Each","0.00","16.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|135|88189&id=1590660"
"112","Snap Hook",,"5/16""","Stainless","Each","0.00","24.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|2186|312065&id=125740"
"114","Saftey","Emergency Ladder",,,"Each","0.00","33.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|109363&id=1343784"
"115","Rope","Three Strand","1/2""","Nylon","Ft.","0.00","0.62","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|311417|35699&id=36180"
"116","Coveralls","Disposable w/Hood","Large",,"Each","0.00","3.35","12","12","0.00","http://www.amazon.com/Magid-EconoWear-Polypropylene-Disposable-Coverall/dp/B004OEJIE2/ref=sr_1_2?s=industrial&ie=UTF8&qid=1331616867&sr=1-2"
"117","Bolt","Philips Flat Head","1/4"" x 1 1/2""","Stainless","Each","2.00","0.15","100","100","0.02","http://jamestowndistributors.com/userportal/show_product.do?pid=489&familyName=1%2F4-20+S%2FS+Machine+Screws+FP"
"118","Stove","Force 10 Eno 2 Burner","10"" x 20"" x 15.5""","Stainless","Each","0.00","340.00","1","1","16.00","http://www.defender.com/product.jsp?path=-1|406|694|319790&id=1125571"
"120","Gas Detector","CO Detector",,,"Each","1.00","4.00","1","1","0.00","Minney's"
"121","LPG Part","Solenoid, Detector and Control Kit",,,"Each","0.00","325.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|301237|322410&id=731239"
"122","Gas Detector","Gasoline Fume Detector",,,"Each","0.00","142.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|135|296545|747123&id=122154"
"123","Gas Detector","Propane Detector",,,"Each","0.00","140.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|301237|322410&id=122124"
"124","LPG Part","Bracket-Mount Regulator With Pigtail",,,"Each","0.00","78.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|301237|322410&id=59342"
"125","LPG Part","Hose","10'",,"Each","0.00","45.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|301237|322409&id=1774401"
"126","LPG Part","Thru-Fitting",,,"Each","0.00","15.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|301237|322409&id=730734"
"127","Tank","LPG Tank","12"" dia. x 15"" 11 gal.",,"Each","0.00","105.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|301237|322407&id=1065959"
"128","Tank","Jerry Can","2.5 gal.",,"Each","0.00","19.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|311|302335|7364|939812&id=811386"
"129","Electrical","Toggle Switch SPST",,,"Each","1.00","5.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|328|303333|1017101&id=913839"
"130","Electrical","Duplex Wire","16 AWG",,"Ft.","0.00","0.45","100","100","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|316476&id=127820"
"131","Electrical","Primary Wire","16 AWG",,"Ft.","0.00","0.18","100","100","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|316475|579425&id=863521"
"132","Electrical","Heatshrink, Adhesive","16-10 AWG",,"in.","10.00","0.30","60","60","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|299256&id=127925"
"133","Electrical","Ring Terminal","16-14 AWG #8 screw",,"Each","10.00","0.30","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316480&id=133180"
"134","Electrical","Ring Terminal Heatshrink","16-14 AWG #8 screw",,"Each","0.00","0.80","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316480&id=50323"
"135","Electrical","Butt Connector Heatshrink","16-14 AWG",,"Each","0.00","0.80","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316479&id=112307"
"136","Electrical","Ring Terminal Heatshrink","12-10 AWG, 1/4"" screw",,"Each","0.00","1.08","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316480&id=50353"
"137","Electrical","Ring Terminal","12-10 AWG, 1/4"" screw",,"Each","10.00","0.44","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316480&id=49985"
"138","Electrical","Butt Connector","16-14 AWG",,"Each","10.00","0.24","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316479&id=112262"
"139","Electrical","Butt Connector","12-10 AWG",,"Each","10.00","0.38","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316479&id=112277"
"140","Electrical","Butt Connector Heatshrink","12-10 AWG",,"Each","0.00","1.40","25","25","0.00","http://www.defender.com/product.jsp?path=-1|328|49758|112306|316479&id=112335"
"141","Electrical","Indicator Light, Red",,"LED","Each","0.00","3.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|328|299263|319684|1506461&id=1446685"
"142","Chain Snubber",,"20"" - 38""",,"Each","0.00","55.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|296895|321828&id=1501905"
"143","Lumber","Marine Plywood","1/2""",,"Each","0.00","2.67","32","32","0.00","http://www.worldpanel.com/proddetail.asp?prod=HydroCore"
"144","Lumber","White Oak","3/4"" x 2""",,"Linear Ft.","0.00","0.90","1","1","0.00","http://marine-plywood.us/Boat-lumber-pricing.htm"
"145","Nut","Acorn Nut","1/4""","Stainless","Each","0.00","0.14","100","100","0.00","http://jamestowndistributors.com/userportal/show_product.do?pid=1885&familyName=S%2FS+Acorn+%28Cap%29+Nuts"
"146","Washer",,"1/4"" x 5/8"" o.d.","Stainless","Each","0.00","0.02","100","100","0.00","http://jamestowndistributors.com/userportal/show_product.do?pid=1906&familyName=S%2FS+Flat+Washers"
"147","Varnish","Clear",,,"Qt.","0.00","29.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10918|296162|10952|311505&id=12909"
"148","Electrical","Circuit Breaker","Various Amperages",,"Each","0.00","14.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|328|296553|299262|825439&id=672554"
"149","Cloth","Sunbrella Canvas Vellum","54""","Acrylic","Yd.","0.00","18.00","1","1","0.00","http://www.sailrite.com/Sunbrella-5498-0000-Canvas-Vellum-54"
"150","Shackle",,"5/16"" x 2"" x 1""","Stainless","Each","0.00","12.00","1","1","0.00","Minney's"
"151","Sextant","Used, Beautiful",,,"Each","0.00","325.00","1","1","0.00","Minney's"
"152","Ship Bell",,"8"" Dia.",,"Each","0.00","38.00","1","1","0.00","Minney's"
"153","Tool","Cable Cutter",,,"Each","0.00","195.00","1","1","0.00","Minney's"
"154","Eye Strap",,"3/4"" Eye",,"Each","0.00","1.00","1","1","0.00","Minney's"
"155","PFD","Used Life Jackets Type I",,,"Each","4.00","5.00","1","1","0.00","Minney's"
"156","Pins","Used","1/2""","Stainless","Each","0.00","1.00","1","1","0.00","Minney's"
"157","Winch","Halyard 2 Speed","3"" Drum",,"Each","0.00","150.00","1","1","0.00","Minney's"
"158","Fasteners","Miscellaneous",,"Stainless","lb.","20.00","7.00","1","1","0.00","Minney's"
"159","Thru-Hull","Used","1/2"" - 2""","Bronze","Each","0.00","20.00","1","1","0.00","Minney's"
"160","Shackle","Anchor","1/2""","Galvanized Steel","Each","0.00","4.00","1","1","0.00","Minney's"
"161","Rope","Samson XLS Yacht Braid Tracer","1/2""","Polyester","Ft.","0.00","0.90","1","1","0.00","Minney's"
"162","Windows","Used Opening Portlight, Still In Bulkhead","8"" x 12""","Aluminum","Each","0.00","30.00","1","1","0.00","Minney's"
"163","Windows","Used Opening Portlight","6"" x 12""","Bronze & Glass","Each","0.00","200.00","1","1","0.00","Minney's"
"164","Windows","Used Opening Portlight","6"" x 12""","Stainless & Glass","Each","0.00","130.00","1","1","0.00","Minney's"
"165","Windows","Used Crusty Perko Portlight",,,"Each","0.00","40.00","1","1","0.00","Minney's"
"166","Windows","Portlight","12"" x 4""","Plastic","Each","0.00","80.00","1","1","0.00","Minney's"
"167","Nav Light","Combo Bow Light",,"Plastic","Each","0.00","25.00","1","1","0.00","Minney's"
"168","Deck Fill","Miscellaneous Used",,"Bronze","Each","0.00","25.00","1","1","0.00","Minney's"
"169","Bow Roller","Various"," ","Stainless","Each","0.00","125.00","1","1","0.00","Minney's"
"170","Windows","Fixed Portlights",,"Aluminim","Each","0.00","50.00","1","1","0.00","Minney's"
"171","Gague","Miscellaneous Used",,,"Each","0.00","20.00","1","1","0.00","Minney's"
"172","Electrical","Wire, All Sizes",,,"lb.","0.00","6.00","1","1","0.00","Minney's"
"173","Electrical","Shore Power Cable, Used (Cheapest)",,,"Each","1.00","70.00","1","1","0.00","Minney's"
"174","Fridge Part","Compressor",,,"Each","0.00","500.00","1","1","0.00","Minney's"
"175","Electrical","Marine Battery Charger, Used (Cheapest)",,,"Each","0.00","100.00","1","1","0.00","Minney's"
"176","Electrical","Marine Battery Charger, Used (Expensive)",,,"Each","0.00","200.00","1","1","0.00","Minney's"
"177","Electrical","Shore Power Cable, Used (Most Expensive)",,,"Each","0.00","200.00","1","1","0.00","Minney's"
"178","Windows","Fixed Portlights","Various","Aluminum, Poly","Each","0.00","65.00","1","1","0.00","Minney's"
"179","Epoxy","Sponge Brush","2""",,"Each","0.00","0.50","36","36","0.00","Minney's"
"180","Band Clamp",,"8""+","Stainless","Each","0.00","8.00","1","1","0.00","Minney's"
"181","Hatch","Opaque, Various (Smaller)",,"Plastic","Each","0.00","30.00","1","1","0.00","Minney's"
"182","Hatch","Opaque, Various (Larger)",,"Plastic","Each","0.00","60.00","1","1","0.00","Miney's"
"183","Window","Lexan Sheet","1/4"" x 1' x 2'","UV Protected Polycarbonate","Each","0.00","14.40","1","1","4.75","http://freckleface.com/shopsite_sc/store/html/product99.html#99"
"184","Thru-Hull","90 Degree Bend","1 1/2"" Hose","Polypropylene","Each","0.00","15.50","1","1","0.00","http://www.jamestowndistributors.com/userportal/product.do?part=110919&BASE"
"185","Compass","Ritchie Compass Oil",,,"Quart","0.50","20.00","1","1","0.00","http://www.vikingcompass.com/qucooil.html"
"186","Window","Acrylic Sheet","3/8"" x 1'x 2'","Acrylic","Each","7.00","16.00","1","1","4.75",
"187","Rope","Solid Braid Samson Utility","3/16""","Nylon","Ft.","0.00","0.08","1","1","0.03","http://www.defender.com/product.jsp?path=-1|118|311417|311408&id=440128&cartId=3689340"
"188","Bolt","Philips Pan Head Machine Screw","#10 x 1""","Stainless","Each","200.00","0.08","100","100","0.02","http://www.jamestowndistributors.com/userportal/product.do?process=checkout&part=9827"
"189","Nut","Hex Nut","#10","Stainless","Each","200.00","0.04","100","100","0.02","http://www.jamestowndistributors.com/userportal/show_product.do?pid=1889&familyName=S%2FS+Hex+Nuts
"
"190","Washer",,"#10  x 7/16"" o.d.","Stainless","Each","200.00","0.04","100","100","0.00","http://www.jamestowndistributors.com/userportal/show_product.do?pid=1906&familyName=S%2FS+Flat+Washers"
"191","Engine Part","Exhaust wrap kit","2"" x 15'",,"Each","0.00","21.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=EXHT"
"192","Engine Part","Standpipe",,"Stainless","Each","0.00","495.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=EXHT"
"193","Engine Part","Water Temperature Gauge",,,"Each","0.00","66.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=GAUG"
"194","Engine Part","SW Oil Pressure Gauge",,,"Each","0.00","65.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=GAUG"
"195","Engine Part","Hour Meter",,,"Each","0.00","35.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=GAUG"
"196","Valve","Fuel Shutoff Valve",,"Bronze","Each","0.00","24.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|311|302335|314210&id=1728258"
"197","Engine Part","Exhaust Flex Section","2"" ID x 6""","Stainless","Each","0.00","20.00","1","1","0.00","All over the internet, auto shops, etc."
"198","Engin Part","Oil Change Kit",,,"Each","0.00","38.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=KTAS&keywords=all&template=Templates/B000_storebuilder.html"
